trade_date,value,ma,ma20,value_ben,buy,sell,return,bench_self
2021-10-26,60575.18526000005,0.03162926018287611,0.04063798836242728,23.92,-0.005818786367414673,,-0.3942481473999995,-0.005818786367414673
2021-10-27,59349.80126000004,0.029925187032419056,0.038850789692435626,23.36,,-0.029093931837073955,-0.40650198739999965,-0.029093931837073955
2021-10-28,58941.46876000004,0.021612635078969523,0.036772651704073164,23.3,-0.03158769742310882,,-0.4105853123999996,-0.03158769742310882
2021-10-29,59341.46876000004,0.016458852867830605,0.03473607647547801,23.46,,,-0.4065853123999996,-0.02493765586034904
2021-11-01,59091.46876000004,0.006857855361596122,0.03250207813798837,23.36,-0.029093931837073955,,-0.4090853123999996,-0.029093931837073955
2021-11-02,58316.46876000004,-0.0026184538653364624,0.030455112219451345,23.05,,,-0.4168353123999996,-0.041978387364920954
2021-11-03,58791.46876000003,-0.011554447215294894,0.02870947630922699,23.24,-0.034081463009143824,,-0.4120853123999997,-0.034081463009143824
2021-11-04,59941.46876000004,-0.017913549459684014,0.02744181213632591,23.7,,,-0.4005853123999996,-0.014962593516209453
2021-11-05,58716.46876000004,-0.023192019950124536,0.025436408977556335,23.21,-0.035328345802161175,,-0.4128353123999996,-0.035328345802161175
2021-11-08,59091.46876000004,-0.027597672485453098,0.023295926849542858,23.36,,,-0.4090853123999996,-0.029093931837073955
2021-11-09,59303.88401000004,-0.028886118038237606,0.021612635078969374,23.61,,-0.01870324189526182,-0.40696115989999965,-0.01870324189526182
2021-11-10,59303.88401000004,-0.028221113881961555,0.020022859517872058,23.52,,,-0.40696115989999965,-0.02244389027431418
2021-11-11,59480.872010000036,-0.02730673316708215,0.017788861180382413,23.52,-0.02244389027431418,,-0.40519127989999965,-0.02244389027431418
2021-11-12,59616.01551000003,-0.026142975893599096,0.016012053200332617,23.74,,-0.013300083125519547,-0.40383984489999974,-0.013300083125519547
2021-11-15,59208.87471000003,-0.022651704073150383,0.014256026600166399,24.2,0.00581878636741482,,-0.4079112528999997,0.00581878636741482
2021-11-16,58588.40535000002,-0.018246051537821967,0.013216957605985244,24.11,,0.002078137988362457,-0.4141159464999998,0.002078137988362457
2021-11-17,58196.13276000002,-0.013715710723192097,0.01250000000000018,24.33,0.01122194513715709,,-0.41803867239999976,0.01122194513715709
2021-11-18,63647.13276000003,-0.0012468827930176513,0.0149625935162096,26.7,0.1097256857855362,,-0.3635286723999997,0.1097256857855362
2021-11-19,62783.93149000004,0.012468827930174446,0.016843308395677718,26.51,,0.10182876142975907,-0.3721606850999996,0.10182876142975907
2021-11-22,62783.93149000004,0.02452202826267649,0.018235660847880548,26.26,,,-0.3721606850999996,0.09143807148794693
2021-11-23,62970.921720000035,0.03865336658354114,0.020054031587697644,27.01,0.12261014131338334,,-0.37029078279999966,0.12261014131338334
2021-11-24,62395.921720000035,0.052119700748129584,0.02069825436408997,26.76,,,-0.37604078279999964,0.1122194513715712
2021-11-25,61897.18351000004,0.06546134663341643,0.021155444721529967,26.73,,0.1109725685785537,-0.38102816489999963,0.1109725685785537
2021-11-26,61897.18351000004,0.07855361596009978,0.022391936824605316,26.89,,,-0.38102816489999963,0.11762261014131346
2021-11-29,61897.18351000004,0.08960931005818797,0.024563591022444233,26.86,,,-0.38102816489999963,0.11637572734829596
2021-11-30,61897.18351000004,0.10141313383208651,0.026475477971737788,26.95,,,-0.38102816489999963,0.12011637572734833
2021-12-01,62076.70593000004,0.1129675810473817,0.029977140482128364,27.11,0.1267664172901081,,-0.3792329406999996,0.1267664172901081
2021-12-02,60698.574670000045,0.1128428927680801,0.033094347464671825,26.67,,0.10847880299251883,-0.39301425329999956,0.10847880299251883
2021-12-03,60879.752590000055,0.11637572734829611,0.03569201995012486,27.36,0.13715710723192023,,-0.3912024740999995,0.13715710723192023
2021-12-06,58602.08181000006,0.11741479634247727,0.037177888611804,26.51,,0.10182876142975907,-0.4139791818999994,0.10182876142975907
2021-12-07,58602.08181000006,0.1162510390689945,0.03941188694929365,26.73,,,-0.4139791818999994,0.1109725685785537
2021-12-08,58206.23412000007,0.11679135494596866,0.04265378221113901,26.89,0.11762261014131346,,-0.41793765879999933,0.11762261014131346
2021-12-09,57290.18556000007,0.11641729010806326,0.04404613466334184,26.64,,0.10723192019950133,-0.42709814439999927,0.10723192019950133
2021-12-10,57290.18556000007,0.11433915211970065,0.04580216126350791,26.39,,,-0.42709814439999927,0.09684123025768919
2021-12-13,57290.18556000007,0.11080631753948435,0.04615544472152959,26.01,,,-0.42709814439999927,0.08104738154613479
2021-12-14,57290.18556000007,0.10835411471321679,0.04722568578553618,26.36,,,-0.42709814439999927,0.09559434746467169
2021-12-15,57290.18556000007,0.10290939318370751,0.04765170407315045,25.8,,,-0.42709814439999927,0.07231920199501256
2021-12-16,57456.80712000007,0.10162094763092286,0.04882585203657521,26.36,0.09559434746467169,,-0.4254319287999993,0.09559434746467169
2021-12-17,56658.80712000007,0.09588528678304249,0.050384455527847094,25.98,0.07980049875311729,,-0.4334119287999993,0.07980049875311729
2021-12-20,55818.67608000007,0.09276807980049888,0.05177680798004977,25.76,,0.07065669160432266,-0.4418132391999993,0.07065669160432266
2021-12-21,55442.09888000008,0.09330839567747302,0.05483167082294266,26.86,0.11637572734829596,,-0.4455790111999992,0.11637572734829596
2021-12-22,55041.047280000064,0.09201995012468808,0.0581774729842062,26.58,,0.10473815461346632,-0.44958952719999934,0.10473815461346632
2021-12-23,55041.047280000064,0.09073150457190342,0.06132585203657539,26.33,,,-0.44958952719999934,0.09434746467165418
2021-12-24,55041.047280000064,0.08852867830423937,0.06381961762261025,25.86,,,-0.44958952719999934,0.07481296758104741
2021-12-27,55041.047280000064,0.09048212801330022,0.06706151288445561,26.48,,,-0.44958952719999934,0.10058187863674156
2021-12-28,55041.047280000064,0.09293433083956779,0.0711138819617622,26.95,,,-0.44958952719999934,0.12011637572734833
2021-12-29,55041.047280000064,0.10523690773067347,0.07684954280964272,28.76,,,-0.44958952719999934,0.19534497090606828
2021-12-30,54667.98209000006,0.1120947630922693,0.08132793017456372,28.01,0.16417290108063187,,-0.4533201790999994,0.16417290108063187
